parameter,value,unit,module,source_tag,uncertainty_level,calibration_status
CR_TOTAL_SANCTIONS_W,0.13,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_TOTAL_SOCIAL_W,0.22,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_TOTAL_WAR_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_BLEND_AT_WAR_W,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_BLEND_NEXT_W,0.4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_HIGH_CONFLICT_THRESHOLD,0.55,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_LINK_CONFLICT_W,0.55,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_LINK_MILITARY_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_LINK_TRUST_W,0.25,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_MIL_PRESSURE_SCALE,1.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_NEXT_CONFLICT_PRONE_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_NEXT_HAWKISH_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_NEXT_WAR_W,0.65,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DAMAGE_BENEFIT_MAX,0.006,dimensionless,gim.core.calibration_params,PRIOR,high,questionable
DAMAGE_BENEFIT_PEAK,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,questionable
DAMAGE_BENEFIT_STDDEV,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DAMAGE_QUAD_COEFF,0.006,dimensionless,gim.core.calibration_params,PRIOR,high,prior
DAMAGE_RISK_ADJ,0.005,dimensionless,gim.core.calibration_params,PRIOR,high,questionable
DEATH_GDP_PC_DECAY,5e-07,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEATH_GINI_SENS,0.4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEATH_PROSPERITY_DAMP,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEATH_RATE_MAX,0.03,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
DEATH_RATE_MIN,0.004,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
DEATH_SCARCITY_SENS,1,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEBT_CRISIS_DEBT_MULT,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEBT_CRISIS_DEBT_THRESHOLD,1.2,dimensionless,gim.core.calibration_params,PRIOR,high,prior
DEBT_CRISIS_EXIT_RATE,0.08,dimensionless,gim.core.calibration_params,DATA plateau-guardrail,medium,data
DEBT_CRISIS_EXIT_THRESHOLD,0.7,dimensionless,gim.core.calibration_params,DATA plateau-guardrail,medium,data
DEBT_CRISIS_GDP_MULT,0.9,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEBT_CRISIS_MAX_YEARS,6,count,gim.core.calibration_params,DATA plateau-guardrail,medium,data
